comment,likes,published_at,cleaned_comment,sentiment,confidence,date
Dhurandhar ka vibe bgm 😂🔥🔥🔥🔥🔥🔥😎💥,0,2026-02-11 16:02:02+00:00,dhurandhar ka vibe bgm,pos,0.517334952781358,2026-02-11
"<a href=""http://www.youtube.com/results?search_query=%23adityadhar"">#adityadhar</a>",0,2026-02-11 16:01:14+00:00,a href,pos,0.517334952781358,2026-02-11
Dhurendhar 😝,0,2026-02-11 15:27:08+00:00,dhurendhar,pos,0.517334952781358,2026-02-11
Dhuranadr vibe❤,1,2026-02-11 14:01:11+00:00,dhuranadr vibe,pos,0.517334952781358,2026-02-11
All the Knight Rider fans assemble,0,2026-02-11 13:37:02+00:00,all the knight rider fans assemble,pos,0.531698720108153,2026-02-11
"From <a href=""https://www.youtube.com/watch?v=w6VZ4qm-e0w&amp;t=123"">2:03</a> to <a href=""https://www.youtube.com/watch?v=w6VZ4qm-e0w&amp;t=140"">2:20</a> is of dhurandhar",0,2026-02-11 12:14:45+00:00,from a href to a href is of dhurandhar,pos,0.517334952781358,2026-02-11
Flipperachi and now this,1,2026-02-11 10:56:03+00:00,flipperachi and now this,pos,0.517334952781358,2026-02-11
"i wasn&#39;t knowing , this is a new drop ! damm❤",0,2026-02-11 10:49:02+00:00,i wasnt knowing this is a new drop damm,pos,0.5508503309568168,2026-02-11
"Yeh naya Hindustan hai, yeh Ghar mein ghusega bhi aur maarega bhi 😤",1,2026-02-11 10:46:14+00:00,yeh naya hindustan hai yeh ghar mein ghusega bhi aur maarega bhi,pos,0.517334952781358,2026-02-11
Dhurandhar ❤❤❤,1,2026-02-11 09:48:35+00:00,dhurandhar,pos,0.517334952781358,2026-02-11
Suits so well for Dhurandhar,1,2026-02-11 07:44:29+00:00,suits so well for dhurandhar,pos,0.5071722732026698,2026-02-11
Crazy Frog team assemble,0,2026-02-11 07:13:17+00:00,crazy frog team assemble,neg,0.5275763670954816,2026-02-11
Shes the lucky lady..,1,2026-02-11 07:07:51+00:00,shes the lucky lady,pos,0.5105875658742258,2026-02-11
Glad to see doja one of my favourite artists in the currently most hyped movie of my country. Dhurandhar revenge,0,2026-02-11 05:54:11+00:00,glad to see doja one of my favourite artists in the currently most hyped movie of my country dhurandhar revenge,pos,0.5084615304785798,2026-02-11
&quot;Dhurandhar revenge&quot; movie is goona be fire. This song fits the teaser so much,1,2026-02-11 05:53:16+00:00,quotdhurandhar revengequot movie is goona be fire this song fits the teaser so much,pos,0.5726331688255245,2026-02-11
Dhurandhar 2 music☠️,1,2026-02-11 05:38:02+00:00,dhurandhar music,pos,0.6438801747648442,2026-02-11
"<a href=""https://www.youtube.com/watch?v=lxhWxv_5bQ0&amp;list=RDlxhWxv_5bQ0"">https://www.youtube.com/watch?v=lxhWxv_5bQ0&amp;list=RDlxhWxv_5bQ0&amp;start_radio=1</a>",0,2026-02-11 05:33:58+00:00,a href,pos,0.517334952781358,2026-02-11
This can go hard with The Boys Season 5 trailer,1,2026-02-11 03:47:33+00:00,this can go hard with the boys season trailer,neg,0.5158271510351868,2026-02-11
Knight rider ka nam shuna hea?,3,2026-02-10 20:25:14+00:00,knight rider ka nam shuna hea,pos,0.5258385244494783,2026-02-10
Can&#39;t wait for dhurandhar 2 and vie deulex 😭💗💥,2,2026-02-10 19:32:34+00:00,cant wait for dhurandhar and vie deulex,neg,0.5968852312923341,2026-02-10
It’s a theme inspired by a games called Knight Riders,2,2026-02-10 18:26:30+00:00,its a theme inspired by a games called knight riders,pos,0.5093294411683409,2026-02-10
Dhurandhar is gonna make this song famous after release,2,2026-02-10 18:08:54+00:00,dhurandhar is gonna make this song famous after release,pos,0.5910745671429517,2026-02-10
Dhurandar Audience Attendance -----------&gt;,4,2026-02-10 17:21:01+00:00,dhurandar audience attendance gt,neg,0.6412619492389908,2026-02-10
MEN &gt; women,1,2026-02-10 17:03:33+00:00,men gt women,pos,0.5152392186429964,2026-02-10
Watch dhurandhar!,2,2026-02-10 16:32:24+00:00,watch dhurandhar,pos,0.547644722290687,2026-02-10
Perfect for dhurandhar ❤,2,2026-02-10 14:25:52+00:00,perfect for dhurandhar,pos,0.7206972953132383,2026-02-10
Dhurandhar you rocked ❤❤,2,2026-02-10 13:46:38+00:00,dhurandhar you rocked,pos,0.517334952781358,2026-02-10
Intro has same tempo of Move - Yeh Ishq Tempo,1,2026-02-10 13:23:16+00:00,intro has same tempo of move yeh ishq tempo,pos,0.517334952781358,2026-02-10
This song feels like she has made it for Dhurandhar only 🙌🔥,3,2026-02-10 13:05:33+00:00,this song feels like she has made it for dhurandhar only,pos,0.5965066052998756,2026-02-10
Dhurandhar Mode Onn 🔥🔥🔥,2,2026-02-10 12:56:25+00:00,dhurandhar mode onn,pos,0.517334952781358,2026-02-10
dhurandhar ❤,1,2026-02-10 12:40:42+00:00,dhurandhar,pos,0.517334952781358,2026-02-10
i thought this shyt was made by shashwat bhai,3,2026-02-10 12:03:00+00:00,i thought this shyt was made by shashwat bhai,neg,0.5540664229818076,2026-02-10
Now india will make this song popular ..❤❤❤,6,2026-02-10 10:07:39+00:00,now india will make this song popular,pos,0.5637494477886171,2026-02-10
Welcome to DHURANDHAR☠️🔥 family ❤,3,2026-02-10 10:05:02+00:00,welcome to dhurandhar family,pos,0.6682032509638153,2026-02-10
DHURANDHAR IS MASTERPIECE ‼️ 🔥,0,2026-02-10 10:00:27+00:00,dhurandhar is masterpiece,pos,0.6438398891902307,2026-02-10
DHURANDHAR ☠️ 🔥,0,2026-02-10 09:59:56+00:00,dhurandhar,pos,0.517334952781358,2026-02-10
Anyone Hindi &amp; Gujrati I&#39;m Both 😂😂😂,2,2026-02-10 09:54:18+00:00,anyone hindi amp gujrati im both,pos,0.517334952781358,2026-02-10
Nobody thought shashwat use this song like banger. Banger become more banger,1,2026-02-10 09:50:09+00:00,nobody thought shashwat use this song like banger banger become more banger,pos,0.5659963947292371,2026-02-10
Aaaah men 🗣️🗣️🥶,1,2026-02-10 09:26:17+00:00,aaaah men,pos,0.6421084309397433,2026-02-10
Bgm copied from Knight rider theme 1982. Dhurandar could have used remix of knight rider. Better than this,1,2026-02-10 08:55:10+00:00,bgm copied from knight rider theme dhurandar could have used remix of knight rider better than this,neg,0.5278779668477198,2026-02-10
"1% listener : actual fans  of doja and came to listen the song , rest 99% : Dhurandhar part 2 teaser song💀",3,2026-02-10 08:41:23+00:00,listener actual fans of doja and came to listen the song rest dhurandhar part teaser song,pos,0.6006480991333142,2026-02-10
"Doja is killing it, It suits as dhurandhar bgm.",3,2026-02-10 06:10:16+00:00,doja is killing it it suits as dhurandhar bgm,neg,0.5287905012182728,2026-02-10
Going to be viral very soon 🔥,0,2026-02-10 05:54:30+00:00,going to be viral very soon,neg,0.5752372373366164,2026-02-10
"What about copyright <a href=""http://www.youtube.com/results?search_query=%23dhurandhar"">#dhurandhar</a> 2",1,2026-02-10 05:53:57+00:00,what about copyright a href,pos,0.517334952781358,2026-02-10
Knight rider theme 1980 is kinda similar with this isn&#39;t it.,1,2026-02-10 05:30:26+00:00,knight rider theme is kinda similar with this isnt it,pos,0.5868624289897237,2026-02-10
Dhurandhar,2,2026-02-10 05:09:03+00:00,dhurandhar,pos,0.517334952781358,2026-02-10
They made it together may be,1,2026-02-10 02:54:53+00:00,they made it together may be,pos,0.517334952781358,2026-02-10
ITS THE KNIGHT RIDEE THEME YASSSSS,2,2026-02-10 00:04:05+00:00,its the knight ridee theme yasssss,pos,0.5479184696100737,2026-02-10
Revenge Fans Assemble..<br><br><br>edit : didn&#39;t thought so much likes thank you ❤️,2,2026-02-09 20:05:01+00:00,revenge fans assembleedit didnt thought so much likes thank you,pos,0.5115278114904072,2026-02-09
"Doja cat, welcome to 🇮🇳",3,2026-02-09 19:46:52+00:00,doja cat welcome to,neg,0.5029918426049812,2026-02-09
Everyone is after dhurandhar here😂,4,2026-02-09 19:25:18+00:00,everyone is after dhurandhar here,pos,0.517334952781358,2026-02-09
Dhurandar didn’t copy this….they all used the sample from knight rider theme 1982,1,2026-02-09 18:59:03+00:00,dhurandar didnt copy thisthey all used the sample from knight rider theme,pos,0.5074949541505082,2026-02-09
I heard this BGM for the first time in a series called knight rider from 1980s,1,2026-02-09 18:47:23+00:00,i heard this bgm for the first time in a series called knight rider from s,neg,0.5439295381860278,2026-02-09
Dhurandhar 🙌🏻😂,0,2026-02-09 18:37:16+00:00,dhurandhar,pos,0.517334952781358,2026-02-09
Dhurandhar 2❤,2,2026-02-09 18:04:38+00:00,dhurandhar,pos,0.517334952781358,2026-02-09
Dhurandhar 2 effect😂😂,4,2026-02-09 18:03:28+00:00,dhurandhar effect,pos,0.5104141087926347,2026-02-09
I also want to comment who&#39;s here after dhurandhar 2 Trailer 🙂👍,5,2026-02-09 16:21:35+00:00,i also want to comment whos here after dhurandhar trailer,neg,0.547358091549488,2026-02-09
Dhurandhar Teaser!!,2,2026-02-09 16:14:33+00:00,dhurandhar teaser,pos,0.517334952781358,2026-02-09
Just here after dhurandar…,0,2026-02-09 15:31:09+00:00,just here after dhurandar,neg,0.6945684940180963,2026-02-09
Dhurandhar vibes,1,2026-02-09 15:24:56+00:00,dhurandhar vibes,pos,0.517334952781358,2026-02-09
After dhurandar the revenge  teaser❤,1,2026-02-09 15:20:54+00:00,after dhurandar the revenge teaser,neg,0.5086517193982674,2026-02-09
It&#39;s vibe is like Move Ye Ishq Ishq of Dhurandhar❤,2,2026-02-09 15:02:26+00:00,its vibe is like move ye ishq ishq of dhurandhar,neg,0.6048318994889614,2026-02-09
This made for dhurandhar because the timeline is exactly the same dhurandhar,0,2026-02-09 14:44:19+00:00,this made for dhurandhar because the timeline is exactly the same dhurandhar,pos,0.5580068601359508,2026-02-09
"<a href=""https://www.youtube.com/watch?v=w6VZ4qm-e0w&amp;t=123"">2:03</a>  The peak Dhurandhar vibes ❤",0,2026-02-09 14:37:19+00:00,a href the peak dhurandhar vibes,pos,0.5988588940687513,2026-02-09
Dhurandar ❤❤,0,2026-02-09 13:36:59+00:00,dhurandar,pos,0.517334952781358,2026-02-09
"<b>Aditya Dhar: Jalwa hai Apna</b> <a href=""UCkszU2WH9gy1mb0dV-11UJg/medal-yellow-first-red""></a>",178,2026-02-09 13:25:08+00:00,aditya dhar jalwa hai apna,pos,0.517334952781358,2026-02-09
Dhurandar 😂😂😂,1,2026-02-09 13:03:40+00:00,dhurandar,pos,0.517334952781358,2026-02-09
After Dhurandhar,3,2026-02-09 12:34:46+00:00,after dhurandhar,pos,0.517334952781358,2026-02-09
Now Doja Cat wait &amp; watch Indians fanbase for you will be increased rapidly because of your song in Dhurandhar 2... <br>Welcome to India Doja Cat ❤❤❤❤❤,1,2026-02-09 12:29:46+00:00,now doja cat wait amp watch indians fanbase for you will be increased rapidly because of your song in dhurandhar welcome to india doja cat,neg,0.515879750529224,2026-02-09
Dhurandhar 2,2,2026-02-09 12:04:08+00:00,dhurandhar,pos,0.517334952781358,2026-02-09
Dont know who is she . Just came to see Dhurandhar..❤😂 It&#39;s so fit,0,2026-02-09 11:57:29+00:00,dont know who is she just came to see dhurandhar its so fit,neg,0.5941479875741937,2026-02-09
Dhurandhar 2 🔥,0,2026-02-09 08:35:13+00:00,dhurandhar,pos,0.517334952781358,2026-02-09
Dhurandhar,1,2026-02-09 08:21:37+00:00,dhurandhar,pos,0.517334952781358,2026-02-09
